,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice
11,20,RL,64.0,7488,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Av,393.0,Av,0.0,815.0,1208.0,GasA,Ex,Y,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,Gd,6,Typ,0,NA,Attchd,2005.0,RFn,2.0,632.0,TA,TA,Y,105,58,0,0,0,0,NA,NA,NA,0,2,2006,WD ,183600.0
12,70,RL,120.0,26400,Pave,NA,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,TA,Attchd,1900.0,Unf,2.0,576.0,TA,TA,P,0,0,0,0,0,0,NA,NA,NA,0,6,2009,WD ,131000.0
13,160,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,No,813.0,No,0.0,147.0,960.0,GasA,Ex,Y,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,Gd,7,Typ,0,NA,Detchd,2000.0,Unf,2.0,480.0,TA,TA,Y,169,0,0,0,0,0,NA,NA,NA,0,12,2008,ConLD,200000.0
14,20,RL,74.0,9627,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Av,24.0,Av,0.0,1327.0,1351.0,GasA,Ex,Y,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,2007.0,RFn,2.0,610.0,TA,TA,Y,0,50,0,0,0,0,NA,NA,NA,0,6,2008,WD ,193000.0
15,20,RL,93.0,10114,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Av,0.0,Av,0.0,1430.0,1430.0,GasA,Ex,Y,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2004.0,RFn,2.0,624.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,3,2010,WD ,173500.0
16,70,RM,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,No,0.0,No,0.0,624.0,624.0,GasA,Fa,N,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,TA,7,Typ,0,NA,Detchd,1916.0,Unf,3.0,513.0,Fa,Fa,Y,0,0,96,0,0,0,NA,NA,NA,0,5,2008,COD,98000.0
17,20,RL,80.0,8816,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,No,651.0,No,0.0,470.0,1121.0,GasA,TA,Y,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1963.0,Unf,2.0,480.0,TA,TA,Y,0,80,0,0,0,0,NA,MnPrv,NA,0,6,2009,WD ,139000.0
18,20,RL,71.0,8197,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,No,0.0,No,0.0,660.0,660.0,GasA,Ex,Y,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,528.0,TA,TA,Y,138,0,0,0,0,0,NA,MnPrv,NA,0,4,2007,WD ,143500.0
19,60,FV,72.0,8640,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,Mn,24.0,Mn,0.0,732.0,756.0,GasA,Ex,Y,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,2009.0,Unf,2.0,614.0,TA,TA,Y,169,45,0,0,0,0,NA,NA,NA,0,6,2010,Con,215200.0
20,20,RL,109.0,8724,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,No,492.0,No,0.0,402.0,894.0,GasA,Gd,Y,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,Attchd,1968.0,Fin,2.0,450.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,5,2007,WD ,129000.0
21,120,RL,40.0,5664,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,No,1158.0,No,0.0,343.0,1501.0,GasA,Ex,Y,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Ex,Attchd,2000.0,Fin,2.0,499.0,TA,TA,Y,212,59,0,0,0,0,NA,NA,NA,0,10,2009,WD ,278000.0
22,60,RL,103.0,12867,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Av,0.0,Av,0.0,1209.0,1209.0,GasA,Ex,Y,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2005.0,Fin,2.0,575.0,TA,TA,Y,243,142,0,0,0,0,NA,NA,NA,0,7,2006,New,344133.0
23,20,RL,69.22459016393442,7980,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,No,935.0,No,0.0,233.0,1168.0,GasA,Ex,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,NA,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,0,NA,GdPrv,Shed,500,3,2010,WD ,185000.0
24,190,RL,100.0,34650,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Mn,1056.0,Mn,0.0,0.0,1056.0,GasA,TA,N,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,5,Typ,0,NA,Attchd,1955.0,Fin,2.0,572.0,TA,TA,Y,264,0,0,0,0,0,NA,NA,NA,0,1,2006,WD ,145000.0
25,20,RL,92.0,10573,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,No,1312.0,No,0.0,141.0,1453.0,GasA,Ex,Y,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1961.0,RFn,2.0,530.0,TA,TA,Y,0,49,0,0,288,0,NA,GdPrv,NA,0,4,2009,WD ,187500.0
26,20,RL,65.0,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,No,553.0,No,117.0,224.0,894.0,GasA,Ex,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1973.0,Unf,1.0,336.0,TA,TA,Y,416,144,0,0,0,0,NA,MnPrv,NA,0,4,2010,WD ,138500.0
27,50,RL,69.22459016393442,11700,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,No,606.0,No,0.0,336.0,942.0,GasA,Ex,Y,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Gd,Detchd,1937.0,Unf,1.0,240.0,TA,TA,Y,0,40,0,0,0,0,NA,NA,NA,0,7,2008,WD ,198000.0
28,190,C (all),75.0,8250,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,No,0.0,No,0.0,957.0,957.0,GasA,Fa,N,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,TA,9,Typ,0,NA,NA,2005,NA,0.0,0.0,NA,NA,N,0,0,133,0,0,0,NA,NA,NA,0,6,2007,WD ,119600.0
29,50,RL,60.0,8064,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Mn,0.0,Mn,0.0,672.0,672.0,GasA,Ex,Y,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Detchd,2003.0,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,Shed,2000,7,2007,WD ,122900.0
30,20,RL,80.0,9600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,No,1104.0,No,0.0,1420.0,2524.0,GasA,TA,Y,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1981.0,Fin,2.0,542.0,TA,TA,Y,474,120,0,0,0,0,NA,MnPrv,NA,0,7,2009,WD ,278000.0
31,70,RL,69.22459016393442,11435,Pave,NA,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,No,0.0,No,0.0,792.0,792.0,GasA,Fa,Y,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,1931.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2006,WD ,230000.0
32,120,RL,30.0,9549,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,Av,437.0,Av,1057.0,0.0,1494.0,GasA,Ex,Y,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Gd,Attchd,1995.0,Fin,2.0,481.0,TA,TA,Y,0,30,0,0,216,0,NA,NA,NA,0,4,2006,WD ,270000.0
33,20,RL,60.0,10950,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,No,441.0,No,0.0,507.0,948.0,GasA,TA,Y,SBrkr,948,0,0,948,0.0,0.0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1952.0,Unf,2.0,410.0,TA,TA,N,0,48,0,0,0,0,NA,NA,NA,0,4,2007,WD ,125000.0
34,20,RL,79.0,10637,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,Gd,1288.0,Gd,0.0,417.0,1705.0,GasA,Ex,Y,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3.0,826.0,TA,TA,Y,208,44,0,0,0,0,NA,NA,NA,0,9,2009,WD ,297000.0
35,20,RL,80.0,9000,Pave,NA,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Gd,0.0,Gd,0.0,160.0,160.0,GasA,Fa,Y,SBrkr,1142,0,0,1142,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Basment,1958.0,RFn,1.0,384.0,TA,TA,Y,0,28,64,0,0,0,NA,NA,NA,0,4,2009,WD ,113500.0
36,160,RM,41.0,2665,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,No,548.0,No,173.0,36.0,757.0,GasA,Ex,Y,SBrkr,925,550,0,1475,0.0,0.0,2,0,4,1,TA,6,Typ,1,TA,Attchd,1977.0,RFn,1.0,336.0,TA,TA,Y,104,26,0,0,0,0,NA,NA,NA,0,7,2006,WD ,127000.0
37,20,RL,105.0,11751,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,No,705.0,No,0.0,1139.0,1844.0,GasA,Ex,Y,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,0,122,0,0,0,0,NA,MnPrv,NA,0,1,2010,COD,190000.0
38,20,RL,80.0,9600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,No,916.0,No,0.0,326.0,1242.0,GasA,Fa,Y,SBrkr,1242,0,0,1242,0.0,0.0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1973.0,Unf,2.0,528.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,9,2007,WD ,175500.0
39,20,RL,60.0,8428,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,No,420.0,No,0.0,570.0,990.0,GasA,Ex,Y,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1995.0,Unf,1.0,384.0,TA,TA,Y,256,0,0,0,0,0,NA,NA,NA,0,7,2007,WD ,146000.0
40,20,RL,75.0,9937,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,No,830.0,No,290.0,136.0,1256.0,GasA,Gd,Y,SBrkr,1256,0,0,1256,1.0,0.0,1,1,3,1,TA,6,Typ,0,NA,Attchd,1965.0,Fin,1.0,276.0,TA,TA,Y,736,68,0,0,0,0,NA,NA,NA,0,6,2008,WD ,147500.0
41,20,RL,107.0,13891,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Ex,TA,PConc,Ex,Gd,Gd,Gd,1386.0,Gd,0.0,690.0,2076.0,GasA,Ex,Y,SBrkr,2076,0,0,2076,1.0,0.0,2,1,2,1,Ex,7,Typ,1,Gd,Attchd,2006.0,Fin,3.0,850.0,TA,TA,Y,216,229,0,0,0,0,NA,NA,NA,0,9,2006,New,465000.0
42,85,RL,69.22459016393442,9101,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,Av,1097.0,Av,0.0,0.0,1097.0,GasA,Ex,Y,SBrkr,1110,0,0,1110,1.0,0.0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,1978.0,Fin,2.0,602.0,TA,TA,Y,303,30,0,0,0,0,NA,NA,NA,0,7,2009,WD ,165500.0
43,50,RM,81.0,12150,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,No,0.0,No,0.0,1050.0,1050.0,GasA,Ex,N,FuseF,1050,745,0,1795,0.0,0.0,2,0,4,1,TA,7,Typ,0,NA,Attchd,1954.0,Unf,1.0,352.0,Fa,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,11,2008,WD ,131500.0
44,20,RL,70.0,11200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,No,906.0,No,0.0,134.0,1040.0,GasA,Ex,Y,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,2,2008,WD ,129500.0
45,70,RL,100.0,9670,Pave,NA,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,No,210.0,No,0.0,398.0,608.0,GasA,TA,Y,SBrkr,983,890,0,1873,0.0,0.0,1,1,4,1,TA,9,Typ,2,Gd,Detchd,1935.0,Fin,2.0,786.0,Fa,TA,Y,0,0,207,0,0,0,NA,NA,NA,0,6,2008,WD ,257076.0
46,50,RL,60.0,10998,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,No,408.0,No,420.0,156.0,984.0,GasA,Ex,Y,SBrkr,984,620,0,1604,0.0,0.0,2,0,3,1,TA,6,Min2,0,NA,Detchd,1977.0,Unf,2.0,660.0,TA,TA,Y,0,68,0,0,0,0,NA,NA,NA,0,7,2009,WD ,117000.0
